"ID","5..Simcenter NASTRAN Case 5, 8065..Plate Mid X Normal Strain","5..Simcenter NASTRAN Case 5, 8066..Plate Mid Y Normal Strain","5..Simcenter NASTRAN Case 5, 8068..Plate Mid XY Shear Strain"
1632,-0.00126171,0.000365825,-0.00145205
1633,-0.00132351,0.000441666,-0.000583737
1634,-0.00119046,0.000388281,-0.000570827
1635,-0.0000751358,0.0000180346,-0.000505285
1636,-0.0000597976,0.0000355771,-0.000439749
1637,0.000333189,-0.0011053,0.00145127
1638,0.000424178,-0.00133962,0.00111588
1639,0.000438241,-0.00137254,0.00101102
1640,0.000354378,-0.00114486,0.000115999
1641,0.000350575,-0.00113089,0.0000155889
1642,0.000343097,-0.00111565,-0.0000915454
1643,0.000321923,-0.001066,-0.000285048
1644,0.0000456767,-0.0000919382,0.000702141
1645,-0.000130567,0.0000576631,-0.000623282
1646,0.0000594161,-0.000192928,0.000864784
1647,0.0000813524,-0.000233928,0.000750464
1648,0.000384476,-0.00136515,0.0012407
1649,-0.00124612,0.000385086,-0.00137205
1650,0.000269764,-0.000968989,0.00133408
1651,0.000360464,-0.0011699,0.00104867
1652,0.000375802,-0.0012058,0.000963346
1653,0.000298162,-0.000968982,0.000104017
1654,0.000293688,-0.000956053,0.0000163729
1655,0.000287439,-0.000944808,-0.0000878573
1656,0.000269284,-0.000901918,-0.000248605
1657,0.00000657969,-7.22656E-6,-0.0000352268
1658,0.00000764406,-7.38016E-6,-0.0000164761
1659,0.000007682,-8.66774E-6,-0.0000111106
1660,0.00000869743,-0.0000115204,0.00000639101
1661,-0.0000123499,0.00000967281,-0.0000239443
1662,-0.0000127685,0.0000105623,-0.0000411284
1663,0.0000114875,-0.0000132793,0.000056786
1664,-8.79634E-6,0.0000125141,-0.0000893938
1665,0.0000118477,-0.0000081513,0.0000809505
1666,-0.0000115527,0.000014528,-0.00011671
1667,-9.76681E-6,0.0000155391,-0.000137899
1668,0.0000166888,-7.57431E-6,0.000160609
1669,-3.49392E-6,0.000018817,-0.000189111
1670,0.0000208178,0.00000134016,0.000207826
1671,0.00000540628,0.000023054,-0.00022736
1672,0.0000116348,0.0000249423,-0.000249222
1673,0.000305638,-0.00102729,0.000936523
1674,0.000319055,-0.00105809,0.000854201
1675,0.000029804,-0.0000405725,-0.0000385504
1676,0.0000348318,-0.0000482533,0.0000273329
